lat,long,city,country,max temp,humidity,cloudiness,wind speed,date
53.84,22.98,augustow,pl,61.95,87.0,78.0,13.35,1599706954
25.52,90.22,tura,ru,81.68,83.0,100.0,4.88,1599706644
43.3,52.8,zhanaozen,kz,65.73,30.0,0.0,5.88,1599706955
11.05,14.14,mora,cm,76.05,79.0,100.0,4.34,1599706955
-24.69,23.49,khakhea,bw,58.33,35.0,0.0,2.51,1599706955
-33.02,27.91,east london,za,65.21,72.0,100.0,13.76,1599706640
0.7,108.9,sungairaya,id,77.36,86.0,100.0,6.93,1599706956
-18.855198992249356,73.56387490923473,grand river south east,mu,,,,,
39.18,-84.53,hamilton,bm,75.99,88.0,1.0,4.16,1599706831
41.95,-80.55,conneaut,us,66.99,100.0,90.0,7.58,1599706956
71.69,128.87,tiksi,ru,50.45,54.0,0.0,7.18,1599706650
82.95007573784909,43.855823781561185,belushya guba,ru,,,,,
5.41,100.34,georgetown,sh,86.0,74.0,20.0,3.36,1599706647
-5.18,-68.9,jutai,br,77.76,70.0,73.0,2.82,1599706957
60.37,93.04,severo-yeniseyskiy,ru,44.06,95.0,97.0,0.38,1599706957
-19.06,-169.92,alofi,nu,80.6,78.0,75.0,14.99,1599706677
2.74,102.25,kuala pilah,my,84.0,83.0,20.0,4.7,1599706958
-4.434442930559683,-161.37925084463745,samusu,ws,,,,,
-14.66,17.69,menongue,ao,50.38,43.0,0.0,4.38,1599706958
-13.97,28.68,kapiri mposhi,zm,47.88,58.0,0.0,5.44,1599706958
-34.53,20.04,bredasdorp,za,55.0,94.0,100.0,8.93,1599706680
-22.97,-42.03,arraial do cabo,br,73.4,88.0,40.0,11.41,1599706677
-29.34,-49.73,torres,br,65.21,96.0,100.0,11.3,1599706678
47.67,-52.73,torbay,ca,64.99,100.0,75.0,8.05,1599706960
66.04,-17.34,husavik,is,42.8,87.0,90.0,6.93,1599706960
42.1,-79.24,jamestown,sh,66.99,100.0,1.0,3.91,1599706374
-46.19,168.86,mataura,pf,50.0,78.0,93.0,14.0,1599706647
34.64,-120.46,lompoc,us,62.01,93.0,90.0,4.7,1599706806
50.62,34.97,boromlya,ua,52.81,90.0,0.0,6.26,1599706962
65.61,-37.64,tasiilaq,gl,33.8,86.0,100.0,6.93,1599706641
4.17,73.51,male,mv,84.2,79.0,75.0,16.11,1599706929
